Year,Player,Pos,Tm,G,PER, Salary ,MP,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,Archetype
1980,Corky Calhoun,SF,IND,7,10.6,,4.3,0,0.6,0,1.4,0,0.3,0,0.1,0.9,1.1,Ignorance
1980,Alvin Scott,SF,PHO,79,9.9,,16.5,0,1.6,1.2,2.9,1.2,0.6,0.7,1.2,1.3,4.4,Post Scorer
1980,Sam Pellom,PF,ATL,44,9.4,,8.5,0,1,0.5,2.1,0.4,0.3,0.3,0.4,1.6,2.5,Ignorance
1980,Pete Maravich*,SG,TOT,43,13.8,,22.4,0.2,5.4,2.1,1.8,1.9,0.6,0.1,1.9,1.8,13.7,Playmaker
1980,Cliff Robinson,PF,NJN,70,17,,23.7,0,5.6,2.4,7.2,1.4,0.9,0.5,2,2.5,13.6,All Star Post Scorer
1980,Stan Pietkiewicz,PG,SDC,50,14.3,,11.5,0.2,1.6,0.7,0.9,1.9,0.5,0.1,1,1,4.6,Ignorance
1980,John Roche,PG,DEN,82,13.9,,27.9,0.6,3.7,2.1,1.4,4.9,1,0.1,1.9,1.7,11.4,Playmaker
1980,Cedric Maxwell,SF,BOS,80,19,,34.3,0,5.7,5.5,8.8,2.5,1,0.8,2.9,3.3,16.9,All Star Post Scorer
1980,Joe Bryant,PF,SDC,81,11.1,,28.7,0.1,3.6,2,6.4,1.8,1.3,0.5,2.1,3.2,9.3,All Star Post Scorer
1980,Lawrence Boston,PF,WSB,13,12.6,,9.6,0,1.8,0.6,3,0.2,0.3,0.2,0.6,1.9,4.3,Post Scorer
1980,Robert Reid,SF,HOU,76,15.3,,30.3,0,5.5,2,5.8,3.2,1.7,0.8,2.2,3.7,13,All Star Post Scorer
1980,Mickey Johnson,PF,IND,82,20.3,,32.3,0.1,7.1,4.7,8.3,4.2,1.9,1.4,3.5,3.5,19.1,All Star Big Man
1980,Lonnie Shelton,PF,SEA,76,16.8,,29.5,0,5.6,2.4,7.7,1.9,1.2,1,2.2,3.8,13.6,All Star Post Scorer
1980,Mike Gale,PG,SAS,67,13.3,,22,0,2.5,1.4,2.3,4.7,1.8,0.2,1.7,2,6.6,Playmaker
1980,Dave Robisch,C,CLE,82,17.2,,32.6,0,6,3.4,8,2.3,0.6,0.6,1.7,2.6,15.3,All Star Post Scorer
1980,Larry Bird,PF,BOS,82,20.5,,36,0.7,7.7,3.7,10.4,4.5,1.7,0.6,3.2,3.4,21.3,Superstar
